Generators,Resources,Periods,Problem size,Generated energy variable annealer,Commitment variable annealer,Start variable annealer,Shut variable annealer,Operational cost annealer,QPU access time,QPU charge time,QPU run time
16,natural_gas_fired_combustion_turbine,13,480,0.0,1.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,14,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,15,480,0.0,1.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,16,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,17,480,0.0,1.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,18,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,19,480,4.0,1.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,2,480,98.0,1.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,20,480,0.0,1.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,21,480,29.0,1.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,22,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,23,480,0.0,1.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,3,480,58.0,1.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,4,480,0.0,1.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,5,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,6,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,7,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,8,480,0.0,1.0,,,1420283.852700003,32042,4927230,4927230
16,natural_gas_fired_combustion_turbine,9,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
17,natural_gas_fired_combustion_turbine,0,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
17,natural_gas_fired_combustion_turbine,1,480,75.0,1.0,,,1420283.852700003,32042,4927230,4927230
17,natural_gas_fired_combustion_turbine,10,480,0.0,1.0,,,1420283.852700003,32042,4927230,4927230
17,natural_gas_fired_combustion_turbine,11,480,0.0,1.0,,,1420283.852700003,32042,4927230,4927230
17,natural_gas_fired_combustion_turbine,12,480,0.0,1.0,,,1420283.852700003,32042,4927230,4927230
17,natural_gas_fired_combustion_turbine,13,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
17,natural_gas_fired_combustion_turbine,14,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
17,natural_gas_fired_combustion_turbine,15,480,0.0,1.0,,,1420283.852700003,32042,4927230,4927230
17,natural_gas_fired_combustion_turbine,16,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
17,natural_gas_fired_combustion_turbine,17,480,0.0,1.0,,,1420283.852700003,32042,4927230,4927230
17,natural_gas_fired_combustion_turbine,18,480,0.0,1.0,,,1420283.852700003,32042,4927230,4927230
17,natural_gas_fired_combustion_turbine,19,480,0.0,1.0,,,1420283.852700003,32042,4927230,4927230
17,natural_gas_fired_combustion_turbine,2,480,66.0,1.0,,,1420283.852700003,32042,4927230,4927230
17,natural_gas_fired_combustion_turbine,20,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
17,natural_gas_fired_combustion_turbine,21,480,4.0,1.0,,,1420283.852700003,32042,4927230,4927230
17,natural_gas_fired_combustion_turbine,22,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
17,natural_gas_fired_combustion_turbine,23,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
17,natural_gas_fired_combustion_turbine,3,480,0.0,1.0,,,1420283.852700003,32042,4927230,4927230
17,natural_gas_fired_combustion_turbine,4,480,0.0,1.0,,,1420283.852700003,32042,4927230,4927230
17,natural_gas_fired_combustion_turbine,5,480,0.0,1.0,,,1420283.852700003,32042,4927230,4927230
17,natural_gas_fired_combustion_turbine,6,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
17,natural_gas_fired_combustion_turbine,7,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
17,natural_gas_fired_combustion_turbine,8,480,0.0,1.0,,,1420283.852700003,32042,4927230,4927230
17,natural_gas_fired_combustion_turbine,9,480,0.0,1.0,,,1420283.852700003,32042,4927230,4927230
18,natural_gas_fired_combustion_turbine,0,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
18,natural_gas_fired_combustion_turbine,1,480,37.0,1.0,,,1420283.852700003,32042,4927230,4927230
18,natural_gas_fired_combustion_turbine,10,480,36.0,1.0,,,1420283.852700003,32042,4927230,4927230
18,natural_gas_fired_combustion_turbine,11,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
18,natural_gas_fired_combustion_turbine,12,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
18,natural_gas_fired_combustion_turbine,13,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
18,natural_gas_fired_combustion_turbine,14,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
18,natural_gas_fired_combustion_turbine,15,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
18,natural_gas_fired_combustion_turbine,16,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
18,natural_gas_fired_combustion_turbine,17,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
18,natural_gas_fired_combustion_turbine,18,480,33.0,1.0,,,1420283.852700003,32042,4927230,4927230
18,natural_gas_fired_combustion_turbine,19,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
18,natural_gas_fired_combustion_turbine,2,480,40.0,1.0,,,1420283.852700003,32042,4927230,4927230
18,natural_gas_fired_combustion_turbine,20,480,33.0,1.0,,,1420283.852700003,32042,4927230,4927230
18,natural_gas_fired_combustion_turbine,21,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
18,natural_gas_fired_combustion_turbine,22,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
18,natural_gas_fired_combustion_turbine,23,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
18,natural_gas_fired_combustion_turbine,3,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
18,natural_gas_fired_combustion_turbine,4,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
18,natural_gas_fired_combustion_turbine,5,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
18,natural_gas_fired_combustion_turbine,6,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
18,natural_gas_fired_combustion_turbine,7,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
18,natural_gas_fired_combustion_turbine,8,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
18,natural_gas_fired_combustion_turbine,9,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
19,natural_gas_fired_combustion_turbine,0,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
19,natural_gas_fired_combustion_turbine,1,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
19,natural_gas_fired_combustion_turbine,10,480,33.0,1.0,,,1420283.852700003,32042,4927230,4927230
19,natural_gas_fired_combustion_turbine,11,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
19,natural_gas_fired_combustion_turbine,12,480,0.0,0.0,,,1420283.852700003,32042,4927230,4927230
19,natural_gas_fired_combustion_turbine,13,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
19,natural_gas_fired_combustion_turbine,14,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
19,natural_gas_fired_combustion_turbine,15,480,32.0,1.0,,,1420283.852700003,32042,4927230,4927230
