Generator,Resource,Time,Size,Variables,Generated Energy annealer,Status annealer,Cost annealer,QPU access time [s],QPU charge time [s],QPU run time [s],Generated Energy classical,Generator status classical,Classical cost,Classical execution time [s],Iteration
3,natural_gas_fired_combined_cycle,2,240,480,17.0,1.0,714716.2874000008,0.016028,5.0,5.001085,30.0,1.0,609551.1779999998,0.21164578400021128,0
3,natural_gas_fired_combined_cycle,20,240,480,17.0,1.0,714716.2874000008,0.016028,5.0,5.001085,17.0,1.0,609551.1779999998,0.21164578400021128,0
3,natural_gas_fired_combined_cycle,21,240,480,17.0,1.0,714716.2874000008,0.016028,5.0,5.001085,30.0,1.0,609551.1779999998,0.21164578400021128,0
3,natural_gas_fired_combined_cycle,22,240,480,30.0,1.0,714716.2874000008,0.016028,5.0,5.001085,28.0,1.0,609551.1779999998,0.21164578400021128,0
3,natural_gas_fired_combined_cycle,23,240,480,17.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
3,natural_gas_fired_combined_cycle,3,240,480,23.0,1.0,714716.2874000008,0.016028,5.0,5.001085,30.0,1.0,609551.1779999998,0.21164578400021128,0
3,natural_gas_fired_combined_cycle,4,240,480,30.0,1.0,714716.2874000008,0.016028,5.0,5.001085,20.0,1.0,609551.1779999998,0.21164578400021128,0
3,natural_gas_fired_combined_cycle,5,240,480,30.0,1.0,714716.2874000008,0.016028,5.0,5.001085,17.0,1.0,609551.1779999998,0.21164578400021128,0
3,natural_gas_fired_combined_cycle,6,240,480,17.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
3,natural_gas_fired_combined_cycle,7,240,480,30.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
3,natural_gas_fired_combined_cycle,8,240,480,19.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
3,natural_gas_fired_combined_cycle,9,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
4,natural_gas_fired_combined_cycle,0,240,480,25.0,1.0,714716.2874000008,0.016028,5.0,5.001085,49.0,1.0,609551.1779999998,0.21164578400021128,0
4,natural_gas_fired_combined_cycle,1,240,480,49.0,1.0,714716.2874000008,0.016028,5.0,5.001085,49.0,1.0,609551.1779999998,0.21164578400021128,0
4,natural_gas_fired_combined_cycle,10,240,480,28.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
4,natural_gas_fired_combined_cycle,11,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
4,natural_gas_fired_combined_cycle,12,240,480,49.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
4,natural_gas_fired_combined_cycle,13,240,480,49.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
4,natural_gas_fired_combined_cycle,14,240,480,25.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
