Generators,Resources,Periods,Problem size,Generated energy variable classical,Commitment variable classical,Start variable classical,Shut variable classical,Operational cost classical,CPU time
8,natural_gas_fired_combustion_turbine,0,480,91.0,1.0,,,1376229.4403000025,0.2624517830008699
8,natural_gas_fired_combustion_turbine,1,480,91.0,1.0,,,1376229.4403000025,0.2624517830008699
8,natural_gas_fired_combustion_turbine,2,480,91.0,1.0,,,1376229.4403000025,0.2624517830008699
8,natural_gas_fired_combustion_turbine,3,480,91.0,1.0,,,1376229.4403000025,0.2624517830008699
8,natural_gas_fired_combustion_turbine,4,480,91.0,1.0,,,1376229.4403000025,0.2624517830008699
8,natural_gas_fired_combustion_turbine,5,480,74.0,1.0,,,1376229.4403000025,0.2624517830008699
8,natural_gas_fired_combustion_turbine,6,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
8,natural_gas_fired_combustion_turbine,7,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
8,natural_gas_fired_combustion_turbine,8,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
8,natural_gas_fired_combustion_turbine,9,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
8,natural_gas_fired_combustion_turbine,10,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
8,natural_gas_fired_combustion_turbine,11,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
8,natural_gas_fired_combustion_turbine,12,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
8,natural_gas_fired_combustion_turbine,13,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
8,natural_gas_fired_combustion_turbine,14,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
8,natural_gas_fired_combustion_turbine,15,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
8,natural_gas_fired_combustion_turbine,16,480,74.0,1.0,,,1376229.4403000025,0.2624517830008699
8,natural_gas_fired_combustion_turbine,17,480,91.0,1.0,,,1376229.4403000025,0.2624517830008699
8,natural_gas_fired_combustion_turbine,18,480,91.0,1.0,,,1376229.4403000025,0.2624517830008699
8,natural_gas_fired_combustion_turbine,19,480,91.0,1.0,,,1376229.4403000025,0.2624517830008699
8,natural_gas_fired_combustion_turbine,20,480,91.0,1.0,,,1376229.4403000025,0.2624517830008699
8,natural_gas_fired_combustion_turbine,21,480,91.0,1.0,,,1376229.4403000025,0.2624517830008699
8,natural_gas_fired_combustion_turbine,22,480,91.0,1.0,,,1376229.4403000025,0.2624517830008699
8,natural_gas_fired_combustion_turbine,23,480,74.0,1.0,,,1376229.4403000025,0.2624517830008699
9,natural_gas_fired_combustion_turbine,0,480,49.0,1.0,,,1376229.4403000025,0.2624517830008699
9,natural_gas_fired_combustion_turbine,1,480,49.0,1.0,,,1376229.4403000025,0.2624517830008699
9,natural_gas_fired_combustion_turbine,2,480,49.0,1.0,,,1376229.4403000025,0.2624517830008699
9,natural_gas_fired_combustion_turbine,3,480,49.0,1.0,,,1376229.4403000025,0.2624517830008699
9,natural_gas_fired_combustion_turbine,4,480,49.0,1.0,,,1376229.4403000025,0.2624517830008699
9,natural_gas_fired_combustion_turbine,5,480,37.0,1.0,,,1376229.4403000025,0.2624517830008699
9,natural_gas_fired_combustion_turbine,6,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
9,natural_gas_fired_combustion_turbine,7,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
9,natural_gas_fired_combustion_turbine,8,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
9,natural_gas_fired_combustion_turbine,9,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
9,natural_gas_fired_combustion_turbine,10,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
9,natural_gas_fired_combustion_turbine,11,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
9,natural_gas_fired_combustion_turbine,12,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
9,natural_gas_fired_combustion_turbine,13,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
9,natural_gas_fired_combustion_turbine,14,480,49.0,1.0,,,1376229.4403000025,0.2624517830008699
9,natural_gas_fired_combustion_turbine,15,480,47.0,1.0,,,1376229.4403000025,0.2624517830008699
9,natural_gas_fired_combustion_turbine,16,480,49.0,1.0,,,1376229.4403000025,0.2624517830008699
9,natural_gas_fired_combustion_turbine,17,480,49.0,1.0,,,1376229.4403000025,0.2624517830008699
9,natural_gas_fired_combustion_turbine,18,480,49.0,1.0,,,1376229.4403000025,0.2624517830008699
9,natural_gas_fired_combustion_turbine,19,480,49.0,1.0,,,1376229.4403000025,0.2624517830008699
9,natural_gas_fired_combustion_turbine,20,480,49.0,1.0,,,1376229.4403000025,0.2624517830008699
9,natural_gas_fired_combustion_turbine,21,480,49.0,1.0,,,1376229.4403000025,0.2624517830008699
9,natural_gas_fired_combustion_turbine,22,480,49.0,1.0,,,1376229.4403000025,0.2624517830008699
9,natural_gas_fired_combustion_turbine,23,480,46.0,1.0,,,1376229.4403000025,0.2624517830008699
10,natural_gas_fired_combustion_turbine,0,480,47.0,1.0,,,1376229.4403000025,0.2624517830008699
10,natural_gas_fired_combustion_turbine,1,480,48.0,1.0,,,1376229.4403000025,0.2624517830008699
10,natural_gas_fired_combustion_turbine,2,480,48.0,1.0,,,1376229.4403000025,0.2624517830008699
10,natural_gas_fired_combustion_turbine,3,480,48.0,1.0,,,1376229.4403000025,0.2624517830008699
10,natural_gas_fired_combustion_turbine,4,480,48.0,1.0,,,1376229.4403000025,0.2624517830008699
10,natural_gas_fired_combustion_turbine,5,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
10,natural_gas_fired_combustion_turbine,6,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
10,natural_gas_fired_combustion_turbine,7,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
10,natural_gas_fired_combustion_turbine,8,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
10,natural_gas_fired_combustion_turbine,9,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
10,natural_gas_fired_combustion_turbine,10,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
10,natural_gas_fired_combustion_turbine,11,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
10,natural_gas_fired_combustion_turbine,12,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
10,natural_gas_fired_combustion_turbine,13,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
10,natural_gas_fired_combustion_turbine,14,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
10,natural_gas_fired_combustion_turbine,15,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
10,natural_gas_fired_combustion_turbine,16,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
10,natural_gas_fired_combustion_turbine,17,480,48.0,1.0,,,1376229.4403000025,0.2624517830008699
10,natural_gas_fired_combustion_turbine,18,480,48.0,1.0,,,1376229.4403000025,0.2624517830008699
10,natural_gas_fired_combustion_turbine,19,480,48.0,1.0,,,1376229.4403000025,0.2624517830008699
10,natural_gas_fired_combustion_turbine,20,480,48.0,1.0,,,1376229.4403000025,0.2624517830008699
10,natural_gas_fired_combustion_turbine,21,480,48.0,1.0,,,1376229.4403000025,0.2624517830008699
10,natural_gas_fired_combustion_turbine,22,480,27.0,1.0,,,1376229.4403000025,0.2624517830008699
10,natural_gas_fired_combustion_turbine,23,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
11,natural_gas_fired_combustion_turbine,0,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
11,natural_gas_fired_combustion_turbine,1,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
11,natural_gas_fired_combustion_turbine,2,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
11,natural_gas_fired_combustion_turbine,3,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
11,natural_gas_fired_combustion_turbine,4,480,0.0,0.0,,,1376229.4403000025,0.2624517830008699
